id,casualties,people_rescued,est_people_displaced
ci1695303,0,0,50
ci1695304,0,0,0
ci1695305,0,0,0
ci1695306,0,0,0
ci1695307,0,0,0
ci1695308,0,0,1
ci1695309,0,0,0
ci1695310,0,0,4
ci1695311,0,0,0
ci1695312,0,0,0
ci1695313,0,0,0
ci1695314,0,0,0
ci1695315,0,0,0
ci1695316,0,0,0
ci1695317,1,0,0
ci1695318,0,0,0
ci1695319,0,0,0
ci1695320,0,0,0
ci1695321,0,0,0
ci1695322,0,0,0
ci1695323,0,0,8
ci1695324,0,0,0
ci1695325,1,0,1
ci1695326,0,0,0
ci1695327,0,0,0
ci1695328,0,0,0
ci1695329,0,0,0
ci1695330,0,0,0
ci1695331,0,0,5
ci1695332,0,0,0
ci1695333,0,0,0
ci1695334,0,0,6
ci1695335,0,0,0
ci1695336,0,0,0
ci1695337,0,0,0
ci1695338,0,0,0
ci1695339,0,0,0
ci1695340,0,0,0
ci1695341,0,0,0
ci1695342,0,0,0
ci1695343,0,0,5
ci1695344,0,0,0
ci1695345,0,0,0
ci1695346,0,0,0
ci1695347,0,0,0
ci1695348,0,0,0
ci1695349,0,0,0
ci1695350,0,0,0
ci1695351,0,0,0
ci1695352,0,0,0
ci1695353,0,0,0
ci1695354,0,0,0
ci1695355,0,0,2
ci1695356,0,0,0
ci1695357,0,0,0
ci1695358,0,0,3
ci1695359,0,0,0
ci1695360,0,0,0
ci1695361,0,0,0
ci1695362,0,0,0
ci1695363,0,0,0
ci1695364,0,0,4
ci1695365,0,0,0
ci1695366,0,0,0
ci1695367,0,0,37
ci1695368,0,0,0
ci1695369,0,0,0
ci1695370,0,0,0
ci1695371,0,0,0
ci1695372,0,0,0
ci1695373,0,0,0
ci1695374,0,0,0
ci1695375,0,0,2
ci1695376,0,0,0
ci1695377,0,0,0
ci1695378,0,0,0
ci1695379,0,0,0
