id,Date,Fire Details,TFS,Location,Civilian Impact,Sprinkler Systems,Smoke Alarms,Fire Alarms,Damages
1695372,2018-09-19,fr1695372,F18100675,loc1695372,ci1695372,sp1695372,sa1695372,fa1695372,d1695372
1695373,2018-09-19,fr1695373,F18100724,loc1695373,ci1695373,sp1695373,sa1695373,fa1695373,d1695373
1695374,2018-09-19,fr1695374,F18100738,loc1695374,ci1695374,sp1695374,sa1695374,fa1695374,d1695374
1695375,2018-09-19,fr1695375,F18100806,loc1695375,ci1695375,sp1695375,sa1695375,fa1695375,d1695375
1695376,2018-09-19,fr1695376,F18100839,loc1695376,ci1695376,sp1695376,sa1695376,fa1695376,d1695376
1695377,2020-11-08,fr1695377,F20111752,loc1695377,ci1695377,sp1695377,sa1695377,fa1695377,d1695377
1695378,2021-05-12,fr1695378,F21044611,loc1695378,ci1695378,sp1695378,sa1695378,fa1695378,d1695378
1695379,2018-09-22,fr1695379,F18101903,loc1695379,ci1695379,sp1695379,sa1695379,fa1695379,d1695379
1695380,2018-09-22,fr1695380,F18102046,loc1695380,ci1695380,sp1695380,sa1695380,fa1695380,d1695380
1695381,2018-09-22,fr1695381,F18102085,loc1695381,ci1695381,sp1695381,sa1695381,fa1695381,d1695381
1695382,2018-09-22,fr1695382,F18102125,loc1695382,ci1695382,sp1695382,sa1695382,fa1695382,d1695382
1695383,2018-09-22,fr1695383,F18102164,loc1695383,ci1695383,sp1695383,sa1695383,fa1695383,d1695383
1695384,2018-09-22,fr1695384,F18102171,loc1695384,ci1695384,sp1695384,sa1695384,fa1695384,d1695384
1695385,2018-09-22,fr1695385,F18102222,loc1695385,ci1695385,sp1695385,sa1695385,fa1695385,d1695385
1695386,2018-09-23,fr1695386,F18102242,loc1695386,ci1695386,sp1695386,sa1695386,fa1695386,d1695386
1695387,2018-09-23,fr1695387,F18102327,loc1695387,ci1695387,sp1695387,sa1695387,fa1695387,d1695387
1695388,2018-09-23,fr1695388,F18102358,loc1695388,ci1695388,sp1695388,sa1695388,fa1695388,d1695388
1695389,2018-09-23,fr1695389,F18102436,loc1695389,ci1695389,sp1695389,sa1695389,fa1695389,d1695389
1695390,2018-09-23,fr1695390,F18102448,loc1695390,ci1695390,sp1695390,sa1695390,fa1695390,d1695390
1695391,2018-09-24,fr1695391,F18102700,loc1695391,ci1695391,sp1695391,sa1695391,fa1695391,d1695391
1695392,2018-09-27,fr1695392,F18104045,loc1695392,ci1695392,sp1695392,sa1695392,fa1695392,d1695392
1695393,2018-09-27,fr1695393,F18104048,loc1695393,ci1695393,sp1695393,sa1695393,fa1695393,d1695393
1695394,2018-09-27,fr1695394,F18104075,loc1695394,ci1695394,sp1695394,sa1695394,fa1695394,d1695394
1695395,2018-09-27,fr1695395,F18104106,loc1695395,ci1695395,sp1695395,sa1695395,fa1695395,d1695395
1695396,2018-09-27,fr1695396,F18104110,loc1695396,ci1695396,sp1695396,sa1695396,fa1695396,d1695396
1695397,2018-09-28,fr1695397,F18104202,loc1695397,ci1695397,sp1695397,sa1695397,fa1695397,d1695397
1695398,2018-09-28,fr1695398,F18104303,loc1695398,ci1695398,sp1695398,sa1695398,fa1695398,d1695398
1695399,2018-09-28,fr1695399,F18104341,loc1695399,ci1695399,sp1695399,sa1695399,fa1695399,d1695399
1695400,2018-09-28,fr1695400,F18104368,loc1695400,ci1695400,sp1695400,sa1695400,fa1695400,d1695400
1695401,2018-09-29,fr1695401,F18104806,loc1695401,ci1695401,sp1695401,sa1695401,fa1695401,d1695401
1695402,2018-09-28,fr1695402,F18104387,loc1695402,ci1695402,sp1695402,sa1695402,fa1695402,d1695402
1695403,2018-09-28,fr1695403,F18104539,loc1695403,ci1695403,sp1695403,sa1695403,fa1695403,d1695403
1695404,2018-10-01,fr1695404,F18105578,loc1695404,ci1695404,sp1695404,sa1695404,fa1695404,d1695404
1695405,2018-10-01,fr1695405,F18105591,loc1695405,ci1695405,sp1695405,sa1695405,fa1695405,d1695405
1695406,2018-10-01,fr1695406,F18105641,loc1695406,ci1695406,sp1695406,sa1695406,fa1695406,d1695406
1695407,2018-10-02,fr1695407,F18105692,loc1695407,ci1695407,sp1695407,sa1695407,fa1695407,d1695407
1695408,2018-10-02,fr1695408,F18105715,loc1695408,ci1695408,sp1695408,sa1695408,fa1695408,d1695408
1695409,2018-10-02,fr1695409,F18105731,loc1695409,ci1695409,sp1695409,sa1695409,fa1695409,d1695409
1695410,2018-10-02,fr1695410,F18105732,loc1695410,ci1695410,sp1695410,sa1695410,fa1695410,d1695410
1695411,2018-10-02,fr1695411,F18105838,loc1695411,ci1695411,sp1695411,sa1695411,fa1695411,d1695411
