id,area_of_origin,level_of_origin,exposures,extent_of_fire,final_incident_type,ignition_source,material_first_ignited,possible_cause,smoke_spread,Status_of_Fire_On_Arrival
fr1694624,99,,,,1,999,99,99,,7
fr1694625,22,002,,1,1,75,41,3,4,1
fr1694626,62,996,,2,1,999,11,46,9,4
fr1694627,,,,,3,,,,,
fr1694628,27,B01,,4,1,43,97,52,7,3
fr1694629,27,B01,,1,1,71,58,50,7,2
fr1694630,25,002,,2,1,33,14,52,4,2
fr1694631,81,,,,1,81,99,52,,4
fr1694632,,,,,3,,,,,
fr1694633,,,,,3,,,,,
fr1694634,,,,,3,,,,,
fr1694635,,,,,3,,,,,
fr1694636,,,,,3,,,,,
fr1694637,,,,,3,,,,,
fr1694638,13,020,,1,1,30,14,52,2,4
fr1694639,64,,,,1,93,55,45,,3
fr1694640,22,002,,4,1,71,99,45,8,4
fr1694641,24,B02,,1,1,11,99,60,4,1
fr1694642,,,,,3,,,,,
fr1694643,,,,,3,,,,,
fr1694644,66,B01,,2,1,83,14,52,6,2
fr1694645,24,001,,2,1,11,23,47,8,2
fr1694646,64,008,,2,1,71,96,45,5,4
fr1694647,,,,,3,,,,,
fr1694648,44,001,,2,1,999,46,99,3,1
fr1694649,24,011,,2,1,11,57,47,4,2
fr1694650,66,002,,2,1,72,16,20,6,1
fr1694651,89,,,,1,82,54,51,,2
fr1694652,24,001,,2,1,77,46,48,5,3
fr1694653,24,015,,2,1,11,74,60,5,2
fr1694654,24,004,,2,1,11,74,44,4,1
fr1694655,21,004,,2,1,55,99,44,7,3
fr1694656,,,,,3,,,,,
fr1694657,39,001,,1,1,42,97,52,3,1
fr1694658,24,015,,2,1,11,74,44,3,1
fr1694659,75,001,,1,1,999,96,99,2,4
fr1694660,24,012,,1,1,11,23,44,3,1
fr1694661,53,001,,1,1,39,44,28,2,9
fr1694662,89,,,,1,999,99,99,,4
fr1694663,73,001,,2,1,34,55,44,99,3
fr1694664,24,004,,1,1,999,46,99,4,1
fr1694665,86,,,,1,81,47,52,,4
fr1694666,24,002,,2,1,75,41,45,4,2
fr1694667,39,B02,,2,1,71,46,45,4,2
fr1694668,,,,,3,,,,,
fr1694669,,,,,3,,,,,
fr1694670,22,B01,,2,1,55,96,44,7,2
fr1694671,,,,,3,,,,,
fr1694672,,,,,3,,,,,
fr1694673,,,,,3,,,,,
fr1694674,44,009,,1,1,76,41,3,4,1
fr1694675,71,,,,1,71,51,45,,3
fr1694676,,,,,3,,,,,
fr1694677,,,,,3,,,,,
fr1694678,26,B02,,2,1,62,48,46,7,3
fr1694679,93,001,,2,1,19,55,52,6,4
fr1694680,99,,,,1,999,47,99,,3
fr1694681,86,,,,1,83,96,52,,7
fr1694682,,,,,3,,,,,
fr1694683,,,,,3,,,,,
fr1694684,,,,,3,,,,,
fr1694685,,,,,3,,,,,
fr1694686,64,014,,1,1,79,53,45,2,1
fr1694687,,,,,3,,,,,
fr1694688,,,,,3,,,,,
fr1694689,24,003,,2,1,11,74,44,4,2
fr1694690,,,,,3,,,,,
fr1694691,64,005,,1,1,98,51,45,2,2
fr1694692,,,,,3,,,,,
fr1694693,62,996,,1,1,79,12,60,7,1
fr1694694,22,003,,1,1,76,31,11,4,3
fr1694695,,,,,3,,,,,
fr1694696,,,,,3,,,,,
fr1694697,83,,,,1,81,47,52,,7
fr1694698,84,,,,1,999,99,99,,7
fr1694699,42,001,,2,1,999,14,99,3,3
fr1694700,49,002,,2,1,71,46,45,4,2
fr1694701,,,,,3,,,,,
fr1694702,72,001,,2,1,93,55,46,2,4
fr1694703,81,,,,1,999,47,99,,4
fr1694704,,,,,3,,,,,
fr1694705,42,001,,2,1,73,55,47,7,3
fr1694706,,,,,3,,,,,
fr1694707,,,,,3,,,,,
fr1694708,,,,,3,,,,,
fr1694709,,,,,3,,,,,
fr1694710,22,002,,2,1,999,35,1,4,2
fr1694711,91,001,,7,1,999,99,1,8,4
fr1694712,74,001,,1,1,71,51,4,2,4
fr1694713,25,006,,2,1,59,58,48,2,1
fr1694714,25,018,,2,1,71,56,47,4,1
fr1694715,,,,,3,,,,,
fr1694716,44,B02,,2,1,93,46,45,7,2
fr1694717,22,004,,1,1,55,97,44,2,2
fr1694718,56,001,,10,1,93,55,60,5,5
fr1694719,66,B01,,2,1,36,14,20,2,2
fr1694720,86,,,,1,999,99,99,,7
fr1694721,42,B01,,1,1,59,16,52,5,4
fr1694722,13,003,,2,1,71,46,98,7,2
fr1694723,99,,,,1,999,47,98,,7
fr1694724,,,,,3,,,,,
fr1694725,86,,1,,1,999,47,99,,7
fr1694726,66,996,,9,1,999,99,990,10,2
fr1694727,,,,,3,,,,,
fr1694728,81,,,,1,999,99,99,,4
fr1694729,61,002,,2,1,24,43,60,4,2
fr1694730,25,002,,4,1,33,15,52,4,2
fr1694731,,,,,3,,,,,
fr1694732,86,,,,1,81,99,52,,1
fr1694733,83,,,,1,81,43,52,,1
fr1694734,81,,,,1,82,47,51,,4
fr1694735,,,,,3,,,,,
fr1694736,64,016,,1,1,999,31,98,2,1
fr1694737,59,,,,1,20,43,52,,2
fr1694738,,,,,3,,,,,
fr1694739,,,,,3,,,,,
fr1694740,,,,,3,,,,,
fr1694741,25,001,,1,1,999,54,99,4,2
fr1694742,81,,,,1,999,99,99,,3
fr1694743,,,,,3,,,,,
fr1694744,11,001,,2,1,77,46,1,2,4
fr1694745,,,,,3,,,,,
fr1694746,,,,,3,,,,,
fr1694747,85,,,,1,999,99,98,,3
fr1694748,42,001,,2,1,77,71,1,4,1
fr1694749,24,002,,1,1,26,97,52,5,1
fr1694750,23,001,,2,1,55,97,44,4,3
fr1694751,11,001,,2,1,98,46,45,4,1
fr1694752,81,,,,1,999,99,99,,4
fr1694753,81,,,,1,82,47,98,,4
fr1694754,71,,,,1,93,51,99,,5
fr1694755,,,,,3,,,,,
