id,sp_operation,sp_presence
sp1694907,,
sp1694908,,
sp1694909,8,3
sp1694910,3,2
sp1694911,1,2
sp1694912,,
sp1694913,,
sp1694914,1,2
sp1694915,,
sp1694916,,
sp1694917,,
sp1694918,1,1
sp1694919,8,9
sp1694920,,
sp1694921,,
sp1694922,2,2
sp1694923,5,9
sp1694924,8,3
sp1694925,,
sp1694926,,
sp1694927,8,3
sp1694928,,
sp1694929,,
sp1694930,8,3
sp1694931,,
sp1694932,,
sp1694933,,
sp1694934,,
sp1694935,,
sp1694936,,
sp1694937,8,3
sp1694938,,
sp1694939,,
sp1694940,9,9
sp1694941,,
sp1694942,9,9
sp1694943,,
sp1694944,8,3
sp1694945,,
sp1694946,,
sp1694947,3,1
sp1694948,8,3
sp1694949,,
sp1694950,,
sp1694951,,
sp1694952,,
sp1694953,9,9
sp1694954,,
sp1694955,8,3
sp1694956,,
sp1694957,2,2
sp1694958,,
sp1694959,,
sp1694960,,
sp1694961,,
sp1694962,,
sp1694963,,
sp1694964,,
sp1694965,,
sp1694966,8,3
sp1694967,,
sp1694968,,
sp1694969,,
sp1694970,,
sp1694971,,
sp1694972,,
sp1694973,4,1
sp1694974,8,3
sp1694975,,
sp1694976,,
sp1694977,,
sp1694978,,
sp1694979,8,3
sp1694980,,
sp1694981,,
sp1694982,,
sp1694983,,
sp1694984,,
sp1694985,,
sp1694986,,
sp1694987,,
sp1694988,1,1
sp1694989,,
sp1694990,2,1
sp1694991,,
sp1694992,,
sp1694993,,
sp1694994,,
sp1694995,,
sp1694996,8,3
sp1694997,,
sp1694998,,
sp1694999,2,2
sp1695000,8,3
sp1695001,,
sp1695002,,
sp1695003,,
sp1695004,,
sp1695005,8,3
sp1695006,,
sp1695007,,
sp1695008,8,3
sp1695009,8,3
sp1695010,8,3
sp1695011,,
sp1695012,8,3
sp1695013,2,2
sp1695014,8,3
sp1695015,8,3
sp1695016,2,9
sp1695017,,
sp1695018,,
sp1695019,,
sp1695020,,
sp1695021,8,3
sp1695022,,
sp1695023,,
sp1695024,,
sp1695025,,
sp1695026,8,3
sp1695027,,
sp1695028,,
sp1695029,9,9
sp1695030,,
sp1695031,8,3
sp1695032,,
sp1695033,,
sp1695034,,
sp1695035,,
sp1695036,1,1
sp1695037,,
sp1695038,,
sp1695039,,
sp1695040,,
sp1695041,,
sp1695042,,
sp1695043,,
sp1695044,,
sp1695045,,
sp1695046,,
sp1695047,,
sp1695048,,
sp1695049,9,1
sp1695050,,
sp1695051,,
sp1695052,,
sp1695053,,
sp1695054,8,3
sp1695055,,
sp1695056,,
sp1695057,,
sp1695058,,
sp1695059,,
sp1695060,,
sp1695061,,
sp1695062,,
sp1695063,8,3
sp1695064,,
sp1695065,2,1
sp1695066,,
sp1695067,8,3
sp1695068,8,3
sp1695069,,
sp1695070,1,1
sp1695071,,
sp1695072,,
sp1695073,8,3
sp1695074,8,3
sp1695075,2,1
sp1695076,,
sp1695077,2,2
sp1695078,,
sp1695079,,
sp1695080,,
sp1695081,8,3
sp1695082,,
sp1695083,,
sp1695084,,
sp1695085,,
sp1695086,,
sp1695087,,
sp1695088,,
sp1695089,8,3
sp1695090,,
sp1695091,,
sp1695092,3,1
sp1695093,,
sp1695094,,
sp1695095,3,1
sp1695096,8,3
sp1695097,,
sp1695098,,
sp1695099,,
sp1695100,8,3
sp1695101,,
sp1695102,,
sp1695103,9,9
sp1695104,,
sp1695105,,
sp1695106,2,2
sp1695107,8,3
sp1695108,8,3
sp1695109,,
sp1695110,,
sp1695111,,
sp1695112,,
sp1695113,,
sp1695114,,
sp1695115,,
sp1695116,,
sp1695117,8,3
sp1695118,,
sp1695119,3,1
sp1695120,,
sp1695121,,
sp1695122,9,9
sp1695123,8,3
sp1695124,,
sp1695125,8,3
sp1695126,8,9
sp1695127,,
sp1695128,,
sp1695129,8,3
sp1695130,,
sp1695131,,
sp1695132,,
sp1695133,,
sp1695134,,
sp1695135,,
sp1695136,8,3
sp1695137,8,3
sp1695138,,
sp1695139,,
sp1695140,,
sp1695141,,
sp1695142,8,3
sp1695143,,
sp1695144,2,1
sp1695145,,
sp1695146,,
sp1695147,9,9
sp1695148,,
sp1695149,2,2
sp1695150,,
sp1695151,,
sp1695152,,
sp1695153,,
sp1695154,,
sp1695155,8,3
sp1695156,,
sp1695157,,
sp1695158,,
sp1695159,,
sp1695160,,
sp1695161,,
sp1695162,,
sp1695163,,
sp1695164,,
sp1695165,,
sp1695166,,
sp1695167,,
sp1695168,,
sp1695169,,
sp1695170,,
sp1695171,8,3
sp1695172,,
sp1695173,8,3
sp1695174,9,9
sp1695175,,
sp1695176,8,3
sp1695177,9,9
sp1695178,,
sp1695179,,
sp1695180,,
sp1695181,8,3
sp1695182,,
sp1695183,,
sp1695184,,
sp1695185,,
sp1695186,,
sp1695187,,
sp1695188,,
sp1695189,2,1
sp1695190,,
sp1695191,,
sp1695192,,
sp1695193,4,9
sp1695194,8,3
sp1695195,,
sp1695196,,
sp1695197,,
sp1695198,,
sp1695199,,
sp1695200,2,9
sp1695201,,
sp1695202,,
sp1695203,,
sp1695204,,
sp1695205,8,3
sp1695206,3,1
sp1695207,,
sp1695208,,
sp1695209,,
sp1695210,1,1
sp1695211,,
sp1695212,,
sp1695213,,
sp1695214,,
sp1695215,,
sp1695216,,
sp1695217,,
sp1695218,,
sp1695219,8,3
sp1695220,,
sp1695221,,
sp1695222,,
sp1695223,,
sp1695224,8,3
sp1695225,,
sp1695226,,
sp1695227,,
sp1695228,9,1
sp1695229,2,3
sp1695230,,
sp1695231,,
sp1695232,,
sp1695233,,
sp1695234,8,3
sp1695235,,
sp1695236,,
sp1695237,,
sp1695238,,
sp1695239,,
sp1695240,,
sp1695241,,
sp1695242,8,3
sp1695243,,
sp1695244,8,3
sp1695245,9,9
sp1695246,,
sp1695247,8,3
sp1695248,,
sp1695249,,
sp1695250,,
sp1695251,,
sp1695252,,
sp1695253,2,1
sp1695254,,
sp1695255,,
sp1695256,,
sp1695257,,
sp1695258,8,3
sp1695259,,
sp1695260,,
sp1695261,8,9
sp1695262,8,3
sp1695263,,
sp1695264,,
sp1695265,,
sp1695266,,
sp1695267,,
sp1695268,8,3
sp1695269,,
sp1695270,,
sp1695271,,
sp1695272,2,2
sp1695273,,
sp1695274,,
sp1695275,,
sp1695276,,
sp1695277,,
sp1695278,,
sp1695279,,
sp1695280,8,9
sp1695281,,
sp1695282,,
sp1695283,8,3
sp1695284,2,2
sp1695285,,
sp1695286,,
sp1695287,8,3
sp1695288,,
sp1695289,,
sp1695290,8,3
sp1695291,,
sp1695292,8,3
sp1695293,,
sp1695294,,
sp1695295,2,2
sp1695296,,
sp1695297,2,2
sp1695298,8,3
sp1695299,,
sp1695300,,
sp1695301,2,9
sp1695302,8,3
sp1695303,1,1
sp1695304,,
sp1695305,8,3
sp1695306,,
sp1695307,,
sp1695308,8,3
sp1695309,8,3
sp1695310,8,3
sp1695311,,
sp1695312,,
sp1695313,,
sp1695314,,
sp1695315,,
sp1695316,,
sp1695317,8,3
sp1695318,9,9
sp1695319,,
sp1695320,1,1
sp1695321,,
sp1695322,,
sp1695323,8,3
sp1695324,,
sp1695325,8,3
sp1695326,,
sp1695327,2,1
sp1695328,8,3
sp1695329,,
sp1695330,,
sp1695331,8,3
sp1695332,8,3
sp1695333,,
sp1695334,8,3
sp1695335,3,1
sp1695336,,
sp1695337,,
sp1695338,2,1
sp1695339,,
sp1695340,,
sp1695341,,
sp1695342,8,3
sp1695343,8,3
sp1695344,,
sp1695345,,
sp1695346,9,9
sp1695347,,
sp1695348,9,9
sp1695349,2,2
sp1695350,,
sp1695351,,
sp1695352,,
sp1695353,,
sp1695354,,
sp1695355,2,2
sp1695356,3,1
sp1695357,,
sp1695358,8,3
sp1695359,,
sp1695360,,
sp1695361,,
sp1695362,,
sp1695363,,
sp1695364,8,3
sp1695365,1,2
sp1695366,,
sp1695367,8,9
sp1695368,,
sp1695369,8,3
sp1695370,8,3
sp1695371,,
sp1695372,,
sp1695373,8,3
sp1695374,,
sp1695375,1,1
sp1695376,,
sp1695377,,
sp1695378,,
sp1695379,9,9
sp1695380,,
sp1695381,8,3
sp1695382,,
sp1695383,,
sp1695384,,
sp1695385,1,1
sp1695386,,
sp1695387,8,3
sp1695388,,
sp1695389,,
sp1695390,8,3
sp1695391,,
sp1695392,9,9
sp1695393,,
sp1695394,,
sp1695395,,
sp1695396,,
sp1695397,8,3
sp1695398,1,1
sp1695399,,
sp1695400,,
sp1695401,,
sp1695402,2,2
sp1695403,9,9
sp1695404,8,3
sp1695405,2,2
sp1695406,,
sp1695407,,
sp1695408,8,3
sp1695409,,
sp1695410,2,1
sp1695411,8,3
sp1695412,,
sp1695413,4,9
sp1695414,,
sp1695415,3,1
sp1695416,,
sp1695417,2,2
sp1695418,4,9
sp1695419,2,1
sp1695420,8,3
sp1695421,,
sp1695422,,
sp1695423,,
sp1695424,8,3
sp1695425,1,1
sp1695426,,
sp1695427,2,1
sp1695428,,
sp1695429,,
sp1695430,,
sp1695431,,
sp1695432,,
sp1695433,,
sp1695434,,
sp1695435,,
sp1695436,,
sp1695437,,
sp1695438,,
sp1695439,8,3
sp1695440,,
sp1695441,2,3
sp1695442,8,3
sp1695443,,
sp1695444,8,3
sp1695445,1,1
sp1695446,,
sp1695447,,
sp1695448,,
sp1695449,9,9
sp1695450,,
sp1695451,,
sp1695452,,
sp1695453,,
sp1695454,2,2
sp1695455,,
sp1695456,,
sp1695457,,
sp1695458,3,1
sp1695459,8,3
sp1695460,,
sp1695461,,
sp1695462,8,3
sp1695463,,
sp1695464,2,1
sp1695465,,
sp1695466,3,9
sp1695467,,
sp1695468,,
sp1695469,,
sp1695470,3,1
sp1695471,,
sp1695472,,
sp1695473,,
sp1695474,,
sp1695475,,
sp1695476,8,3
sp1695477,,
sp1695478,8,3
sp1695479,,
sp1695480,8,3
sp1695481,3,2
sp1695482,8,3
sp1695483,1,1
sp1695484,1,2
sp1695485,8,3
sp1695486,8,3
sp1695487,,
sp1695488,,
sp1695489,,
sp1695490,9,9
sp1695491,,
sp1695492,,
sp1695493,2,1
sp1695494,,
sp1695495,,
sp1695496,2,2
sp1695497,,
sp1695498,,
sp1695499,8,3
sp1695500,,
sp1695501,,
sp1695502,,
sp1695503,8,3
sp1695504,8,3
sp1695505,,
sp1695506,,
sp1695507,3,1
sp1695508,,
sp1695509,,
sp1695510,,
sp1695511,,
sp1695512,,
sp1695513,2,1
sp1695514,,
sp1695515,2,2
sp1695516,8,3
sp1695517,2,2
sp1695518,,
sp1695519,,
sp1695520,8,3
sp1695521,1,1
sp1695522,8,3
sp1695523,8,3
sp1695524,9,9
sp1695525,2,2
sp1695526,,
sp1695527,,
sp1695528,8,3
sp1695529,,
sp1695530,8,3
sp1695531,,
sp1695532,,
sp1695533,,
sp1695534,8,3
sp1695535,8,3
sp1695536,,
sp1695537,,
sp1695538,8,3
sp1695539,,
sp1695540,8,3
sp1695541,,
sp1695542,,
sp1695543,,
sp1695544,9,9
sp1695545,,
sp1695546,,
sp1695547,,
sp1695548,,
sp1695549,,
sp1695550,9,9
sp1695551,,
sp1695552,2,2
sp1695553,2,9
sp1695554,,
sp1695555,,
sp1695556,,
sp1695557,,
sp1695558,,
sp1695559,,
sp1695560,,
sp1695561,,
sp1695562,8,3
sp1695563,,
sp1695564,2,1
sp1695565,,
sp1695566,,
sp1695567,,
sp1695568,,
sp1695569,,
sp1695570,,
sp1695571,8,3
sp1695572,,
sp1695573,,
sp1695574,,
sp1695575,2,2
sp1695576,,
sp1695577,,
sp1695578,,
sp1695579,1,1
sp1695580,1,1
sp1695581,8,3
sp1695582,,
sp1695583,2,2
sp1695584,2,1
sp1695585,,
sp1695586,1,1
sp1695587,,
sp1695588,1,1
sp1695589,8,3
sp1695590,,
sp1695591,8,3
sp1695592,1,1
sp1695593,,
sp1695594,8,3
sp1695595,,
sp1695596,,
sp1695597,1,1
sp1695598,1,1
sp1695599,8,9
sp1695600,3,1
sp1695601,8,3
sp1695602,8,3
sp1695603,,
sp1695604,8,3
sp1695605,8,3
sp1695606,8,3
sp1695607,,
sp1695608,3,1
sp1695609,8,3
sp1695610,8,3
sp1695611,,
sp1695612,,
sp1695613,,
sp1695614,,
sp1695615,8,3
sp1695616,,
sp1695617,8,3
sp1695618,8,3
sp1695619,8,3
sp1695620,,
sp1695621,,
sp1695622,2,2
sp1695623,1,1
sp1695624,8,3
sp1695625,,
sp1695626,1,1
sp1695627,,
sp1695628,,
sp1695629,,
sp1695630,,
sp1695631,,
sp1695632,1,2
sp1695633,,
sp1695634,1,1
sp1695635,8,3
sp1695636,,
sp1695637,,
sp1695638,,
sp1695639,,
sp1695640,8,3
sp1695641,8,3
sp1695642,1,1
sp1695643,,
sp1695644,,
sp1695645,8,9
sp1695646,3,2
sp1695647,,
sp1695648,8,3
sp1695649,8,3
sp1695650,2,1
sp1695651,8,3
sp1695652,,
