id,sa_fire_origin,sa_alarm_failure,sa_alarm_type,sa_impact_evacuation
sa1694825,1,98,8,3
sa1694826,,,,
sa1694827,,,,
sa1694828,1,98,8,1
sa1694829,3,4,2,1
sa1694830,,,,
sa1694831,,,,
sa1694832,2,98,4,9
sa1694833,,,,
sa1694834,9,98,8,1
sa1694835,,,,
sa1694836,2,98,4,7
sa1694837,,,,
sa1694838,,,,
sa1694839,1,9,8,8
sa1694840,,,,
sa1694841,,,,
sa1694842,,,,
sa1694843,,,,
sa1694844,,,,
sa1694845,,,,
sa1694846,2,1,1,7
sa1694847,,,,
sa1694848,9,98,9,9
sa1694849,,,,
sa1694850,,,,
sa1694851,,,,
sa1694852,2,98,2,9
sa1694853,,,,
sa1694854,,,,
sa1694855,2,98,4,1
sa1694856,2,98,4,3
sa1694857,4,4,4,7
sa1694858,1,99,9,7
sa1694859,3,4,2,7
sa1694860,2,98,9,3
sa1694861,,,,
sa1694862,2,98,2,9
sa1694863,2,98,4,1
sa1694864,,,,
sa1694865,,,,
sa1694866,1,9,8,7
sa1694867,,,,
sa1694868,,,,
sa1694869,,,,
sa1694870,,,,
sa1694871,,,,
sa1694872,,,,
sa1694873,,,,
sa1694874,,,,
sa1694875,,,,
sa1694876,1,98,2,3
sa1694877,2,98,4,1
sa1694878,,,,
sa1694879,,,,
sa1694880,,,,
sa1694881,,,,
sa1694882,,,,
sa1694883,2,98,1,1
sa1694884,,,,
sa1694885,1,98,8,8
sa1694886,2,98,4,1
sa1694887,,,,
sa1694888,,,,
sa1694889,,,,
sa1694890,,,,
sa1694891,,,,
sa1694892,2,98,4,8
sa1694893,1,9,8,1
sa1694894,,,,
sa1694895,3,99,4,7
sa1694896,2,98,2,1
sa1694897,,,,
sa1694898,,,,
sa1694899,4,99,4,2
sa1694900,,,,
sa1694901,,,,
sa1694902,,,,
sa1694903,,,,
sa1694904,2,98,4,1
sa1694905,,,,
sa1694906,,,,
sa1694907,,,,
sa1694908,,,,
sa1694909,4,9,1,7
sa1694910,4,4,1,9
sa1694911,2,98,4,2
sa1694912,,,,
sa1694913,,,,
sa1694914,2,98,4,2
sa1694915,,,,
sa1694916,,,,
sa1694917,,,,
sa1694918,1,98,8,7
sa1694919,1,98,8,8
sa1694920,,,,
sa1694921,,,,
sa1694922,2,98,3,8
sa1694923,2,98,4,1
sa1694924,9,98,8,8
sa1694925,,,,
sa1694926,,,,
sa1694927,2,98,4,1
sa1694928,,,,
sa1694929,,,,
sa1694930,3,1,1,1
sa1694931,,,,
sa1694932,,,,
sa1694933,,,,
sa1694934,,,,
sa1694935,,,,
sa1694936,,,,
sa1694937,4,4,9,7
sa1694938,,,,
sa1694939,,,,
sa1694940,2,98,4,8
sa1694941,,,,
sa1694942,2,98,4,9
sa1694943,,,,
sa1694944,9,98,8,8
sa1694945,,,,
sa1694946,,,,
sa1694947,3,4,9,9
sa1694948,2,98,8,3
sa1694949,,,,
sa1694950,,,,
sa1694951,,,,
sa1694952,,,,
sa1694953,2,98,4,1
sa1694954,,,,
sa1694955,2,98,4,1
sa1694956,,,,
sa1694957,3,4,2,8
sa1694958,,,,
sa1694959,,,,
sa1694960,,,,
sa1694961,,,,
sa1694962,,,,
sa1694963,,,,
sa1694964,,,,
sa1694965,,,,
sa1694966,3,99,2,7
sa1694967,,,,
sa1694968,,,,
sa1694969,,,,
sa1694970,,,,
sa1694971,,,,
sa1694972,,,,
sa1694973,9,99,9,9
sa1694974,1,98,8,7
sa1694975,,,,
sa1694976,,,,
sa1694977,,,,
sa1694978,,,,
sa1694979,2,98,1,1
sa1694980,,,,
sa1694981,,,,
sa1694982,,,,
sa1694983,,,,
sa1694984,,,,
sa1694985,,,,
sa1694986,,,,
sa1694987,,,,
sa1694988,1,98,8,3
sa1694989,,,,
sa1694990,2,98,1,9
sa1694991,,,,
sa1694992,,,,
sa1694993,,,,
sa1694994,,,,
sa1694995,,,,
sa1694996,2,98,2,1
sa1694997,,,,
sa1694998,,,,
sa1694999,2,98,4,2
sa1695000,1,98,8,8
sa1695001,,,,
sa1695002,,,,
sa1695003,,,,
sa1695004,,,,
sa1695005,9,98,8,8
sa1695006,,,,
sa1695007,,,,
sa1695008,1,9,9,8
sa1695009,1,9,8,1
sa1695010,3,4,2,7
sa1695011,,,,
sa1695012,1,98,9,3
sa1695013,3,3,1,2
sa1695014,1,98,8,8
sa1695015,2,98,4,1
sa1695016,4,98,2,1
sa1695017,,,,
sa1695018,,,,
sa1695019,,,,
sa1695020,,,,
sa1695021,3,4,4,8
sa1695022,,,,
sa1695023,,,,
sa1695024,,,,
sa1695025,,,,
sa1695026,1,98,8,7
sa1695027,,,,
sa1695028,,,,
sa1695029,2,99,2,9
sa1695030,,,,
sa1695031,2,98,4,8
sa1695032,,,,
sa1695033,,,,
sa1695034,,,,
sa1695035,,,,
sa1695036,2,98,9,1
sa1695037,,,,
sa1695038,,,,
sa1695039,,,,
sa1695040,,,,
sa1695041,,,,
sa1695042,,,,
sa1695043,,,,
sa1695044,,,,
sa1695045,,,,
sa1695046,,,,
sa1695047,,,,
sa1695048,,,,
sa1695049,2,98,2,2
sa1695050,,,,
sa1695051,,,,
sa1695052,,,,
sa1695053,,,,
sa1695054,1,98,8,8
sa1695055,,,,
sa1695056,,,,
sa1695057,,,,
sa1695058,,,,
sa1695059,,,,
sa1695060,,,,
sa1695061,,,,
sa1695062,,,,
sa1695063,2,98,1,8
sa1695064,,,,
sa1695065,4,98,2,1
sa1695066,,,,
sa1695067,2,98,2,1
sa1695068,3,98,8,8
sa1695069,,,,
sa1695070,9,98,8,9
sa1695071,,,,
sa1695072,,,,
sa1695073,1,98,8,8
sa1695074,9,98,8,8
sa1695075,2,98,4,1
sa1695076,,,,
sa1695077,3,4,2,9
sa1695078,,,,
sa1695079,,,,
sa1695080,,,,
sa1695081,1,5,8,7
sa1695082,,,,
sa1695083,,,,
sa1695084,,,,
sa1695085,,,,
sa1695086,,,,
sa1695087,,,,
sa1695088,,,,
sa1695089,3,2,1,7
sa1695090,,,,
sa1695091,,,,
sa1695092,1,98,8,1
sa1695093,,,,
sa1695094,,,,
sa1695095,3,99,4,7
sa1695096,2,98,4,1
sa1695097,,,,
sa1695098,,,,
sa1695099,,,,
sa1695100,3,6,2,7
sa1695101,,,,
sa1695102,,,,
sa1695103,2,98,9,2
sa1695104,,,,
sa1695105,,,,
sa1695106,1,9,8,7
sa1695107,1,9,8,7
sa1695108,2,98,2,2
sa1695109,,,,
sa1695110,,,,
sa1695111,,,,
sa1695112,,,,
sa1695113,,,,
sa1695114,,,,
sa1695115,,,,
sa1695116,,,,
sa1695117,2,98,4,9
sa1695118,,,,
sa1695119,9,4,4,2
sa1695120,,,,
sa1695121,,,,
sa1695122,2,98,2,1
sa1695123,1,98,8,8
sa1695124,,,,
sa1695125,1,9,8,8
sa1695126,2,98,4,1
sa1695127,,,,
sa1695128,,,,
sa1695129,4,99,9,7
sa1695130,,,,
sa1695131,,,,
sa1695132,,,,
sa1695133,,,,
sa1695134,,,,
sa1695135,,,,
sa1695136,3,99,2,7
sa1695137,2,98,4,1
sa1695138,,,,
sa1695139,,,,
sa1695140,,,,
sa1695141,,,,
sa1695142,2,98,4,2
sa1695143,,,,
sa1695144,2,98,4,1
sa1695145,,,,
sa1695146,,,,
sa1695147,9,9,9,2
sa1695148,,,,
sa1695149,3,4,4,3
sa1695150,,,,
sa1695151,,,,
sa1695152,,,,
sa1695153,,,,
sa1695154,,,,
sa1695155,3,1,1,7
sa1695156,,,,
sa1695157,,,,
sa1695158,,,,
sa1695159,,,,
sa1695160,,,,
sa1695161,,,,
sa1695162,,,,
sa1695163,,,,
sa1695164,,,,
sa1695165,,,,
sa1695166,,,,
sa1695167,,,,
sa1695168,,,,
sa1695169,,,,
sa1695170,,,,
sa1695171,2,98,4,2
sa1695172,,,,
sa1695173,4,98,4,9
sa1695174,9,98,9,8
sa1695175,,,,
sa1695176,1,98,8,8
sa1695177,2,98,4,2
sa1695178,,,,
sa1695179,,,,
sa1695180,,,,
sa1695181,3,3,1,7
sa1695182,,,,
sa1695183,,,,
sa1695184,,,,
sa1695185,,,,
sa1695186,,,,
sa1695187,,,,
sa1695188,,,,
sa1695189,2,98,2,2
sa1695190,,,,
sa1695191,,,,
sa1695192,,,,
sa1695193,9,98,9,9
sa1695194,1,98,8,8
sa1695195,,,,
sa1695196,,,,
sa1695197,,,,
sa1695198,,,,
sa1695199,,,,
sa1695200,2,98,2,1
sa1695201,,,,
sa1695202,,,,
sa1695203,,,,
sa1695204,,,,
sa1695205,2,98,4,3
sa1695206,1,98,8,7
sa1695207,,,,
sa1695208,,,,
sa1695209,,,,
sa1695210,1,98,8,3
sa1695211,,,,
sa1695212,,,,
sa1695213,,,,
sa1695214,,,,
sa1695215,,,,
sa1695216,,,,
sa1695217,,,,
sa1695218,,,,
sa1695219,9,98,9,8
sa1695220,,,,
sa1695221,,,,
sa1695222,,,,
sa1695223,,,,
sa1695224,2,98,1,1
sa1695225,,,,
sa1695226,,,,
sa1695227,,,,
sa1695228,4,99,9,2
sa1695229,1,98,9,9
sa1695230,,,,
sa1695231,,,,
sa1695232,,,,
sa1695233,,,,
sa1695234,2,98,2,9
sa1695235,,,,
sa1695236,,,,
sa1695237,,,,
sa1695238,,,,
sa1695239,,,,
sa1695240,,,,
sa1695241,,,,
sa1695242,2,98,2,3
sa1695243,,,,
sa1695244,2,98,1,3
sa1695245,9,98,9,9
sa1695246,,,,
sa1695247,1,98,8,8
sa1695248,,,,
sa1695249,,,,
sa1695250,,,,
sa1695251,,,,
sa1695252,,,,
sa1695253,2,98,4,3
sa1695254,,,,
sa1695255,,,,
sa1695256,,,,
sa1695257,,,,
sa1695258,2,98,9,7
sa1695259,,,,
sa1695260,,,,
sa1695261,2,98,2,1
sa1695262,2,98,9,2
sa1695263,,,,
sa1695264,,,,
sa1695265,,,,
sa1695266,,,,
sa1695267,,,,
sa1695268,1,9,8,8
sa1695269,,,,
sa1695270,,,,
sa1695271,,,,
sa1695272,2,98,2,3
sa1695273,,,,
sa1695274,,,,
sa1695275,,,,
sa1695276,,,,
sa1695277,,,,
sa1695278,,,,
sa1695279,,,,
sa1695280,3,99,2,8
sa1695281,,,,
sa1695282,,,,
sa1695283,2,98,4,2
sa1695284,1,8,2,2
sa1695285,,,,
sa1695286,,,,
sa1695287,4,4,9,7
sa1695288,,,,
sa1695289,,,,
sa1695290,2,98,2,8
sa1695291,,,,
sa1695292,2,98,1,1
sa1695293,,,,
sa1695294,,,,
sa1695295,3,4,2,8
sa1695296,,,,
sa1695297,2,98,4,2
sa1695298,9,98,8,8
sa1695299,,,,
sa1695300,,,,
sa1695301,1,98,8,8
sa1695302,2,98,4,1
sa1695303,4,98,2,9
sa1695304,,,,
sa1695305,2,98,1,2
sa1695306,,,,
sa1695307,,,,
sa1695308,9,9,8,9
sa1695309,2,98,1,1
sa1695310,2,98,1,7
sa1695311,,,,
sa1695312,,,,
sa1695313,,,,
sa1695314,,,,
sa1695315,,,,
sa1695316,,,,
sa1695317,2,98,1,2
sa1695318,2,98,4,2
sa1695319,,,,
sa1695320,2,98,4,3
sa1695321,,,,
sa1695322,,,,
sa1695323,3,1,1,3
sa1695324,,,,
sa1695325,2,98,1,9
sa1695326,,,,
sa1695327,1,9,8,2
sa1695328,1,1,8,8
sa1695329,,,,
sa1695330,,,,
sa1695331,2,4,2,7
sa1695332,1,98,8,8
sa1695333,,,,
sa1695334,1,4,4,7
sa1695335,2,98,9,1
sa1695336,,,,
sa1695337,,,,
sa1695338,1,98,8,7
sa1695339,,,,
sa1695340,,,,
sa1695341,,,,
sa1695342,2,98,9,1
sa1695343,3,99,9,7
sa1695344,,,,
sa1695345,,,,
