id,impact_evacuation,fa_operation,fa_presence
fa1695371,,,
fa1695372,,,
fa1695373,3,1,1
fa1695374,,,
fa1695375,1,1,1
fa1695376,,,
fa1695377,,,
fa1695378,,,
fa1695379,9,9,9
fa1695380,,,
fa1695381,8,8,2
fa1695382,,,
fa1695383,,,
fa1695384,,,
fa1695385,8,8,2
fa1695386,,,
fa1695387,7,2,1
fa1695388,,,
fa1695389,,,
fa1695390,8,8,2
fa1695391,,,
fa1695392,7,2,1
fa1695393,,,
fa1695394,,,
fa1695395,,,
fa1695396,,,
fa1695397,8,9,9
fa1695398,1,1,1
fa1695399,,,
fa1695400,,,
fa1695401,,,
fa1695402,2,1,1
fa1695403,1,1,1
fa1695404,9,1,1
fa1695405,2,1,1
fa1695406,,,
fa1695407,,,
fa1695408,8,8,2
fa1695409,,,
fa1695410,1,1,1
fa1695411,2,1,1
fa1695412,,,
fa1695413,2,1,1
fa1695414,,,
fa1695415,7,9,1
fa1695416,,,
fa1695417,9,9,1
fa1695418,8,2,1
fa1695419,2,1,1
fa1695420,7,8,1
fa1695421,,,
fa1695422,,,
fa1695423,,,
fa1695424,7,8,8
fa1695425,2,1,1
fa1695426,,,
fa1695427,9,1,1
fa1695428,,,
fa1695429,,,
fa1695430,,,
fa1695431,,,
fa1695432,,,
fa1695433,,,
fa1695434,,,
fa1695435,,,
fa1695436,,,
fa1695437,,,
fa1695438,,,
fa1695439,8,8,2
fa1695440,,,
fa1695441,1,1,1
fa1695442,2,1,1
fa1695443,,,
fa1695444,8,8,8
fa1695445,8,8,2
fa1695446,,,
fa1695447,,,
fa1695448,,,
fa1695449,1,1,1
fa1695450,,,
fa1695451,,,
fa1695452,,,
fa1695453,,,
fa1695454,2,1,1
fa1695455,,,
fa1695456,,,
fa1695457,,,
fa1695458,8,8,2
fa1695459,1,1,1
fa1695460,,,
fa1695461,,,
fa1695462,7,1,1
fa1695463,,,
fa1695464,2,2,1
fa1695465,,,
fa1695466,7,2,9
fa1695467,,,
fa1695468,,,
fa1695469,,,
fa1695470,7,1,1
fa1695471,,,
fa1695472,,,
fa1695473,,,
fa1695474,,,
fa1695475,,,
fa1695476,2,1,1
fa1695477,,,
fa1695478,8,8,8
fa1695479,,,
fa1695480,7,8,2
fa1695481,2,1,1
fa1695482,7,8,2
fa1695483,7,9,9
fa1695484,2,1,1
fa1695485,8,8,8
fa1695486,9,8,2
fa1695487,,,
fa1695488,,,
fa1695489,,,
fa1695490,9,9,9
fa1695491,,,
fa1695492,,,
fa1695493,2,1,1
fa1695494,,,
fa1695495,,,
fa1695496,2,1,1
fa1695497,,,
fa1695498,,,
fa1695499,8,8,2
fa1695500,,,
fa1695501,,,
fa1695502,,,
fa1695503,8,8,8
fa1695504,1,1,9
fa1695505,,,
fa1695506,,,
fa1695507,1,1,1
fa1695508,,,
fa1695509,,,
fa1695510,,,
fa1695511,,,
fa1695512,,,
fa1695513,2,1,1
fa1695514,,,
fa1695515,2,1,1
fa1695516,8,8,2
fa1695517,8,2,1
fa1695518,,,
fa1695519,,,
fa1695520,8,8,8
fa1695521,3,1,1
fa1695522,3,8,2
fa1695523,1,1,1
fa1695524,1,1,1
fa1695525,7,2,1
fa1695526,,,
fa1695527,,,
fa1695528,3,1,1
fa1695529,,,
fa1695530,9,1,1
fa1695531,,,
fa1695532,,,
fa1695533,,,
fa1695534,7,8,2
fa1695535,7,9,9
fa1695536,,,
fa1695537,,,
fa1695538,3,1,1
fa1695539,,,
fa1695540,9,9,9
fa1695541,,,
fa1695542,,,
fa1695543,,,
fa1695544,9,1,1
fa1695545,,,
fa1695546,,,
fa1695547,,,
fa1695548,,,
fa1695549,,,
fa1695550,7,1,1
fa1695551,,,
fa1695552,2,1,1
fa1695553,3,1,1
fa1695554,,,
fa1695555,,,
fa1695556,,,
fa1695557,,,
fa1695558,,,
fa1695559,,,
fa1695560,,,
fa1695561,,,
fa1695562,9,9,9
fa1695563,,,
fa1695564,1,1,1
fa1695565,,,
fa1695566,,,
fa1695567,,,
fa1695568,,,
fa1695569,,,
fa1695570,,,
fa1695571,8,8,8
fa1695572,,,
fa1695573,,,
fa1695574,,,
fa1695575,7,2,1
fa1695576,,,
fa1695577,,,
fa1695578,,,
fa1695579,9,9,9
fa1695580,3,1,1
fa1695581,7,2,8
fa1695582,,,
fa1695583,9,1,1
fa1695584,7,1,1
fa1695585,,,
fa1695586,9,1,1
